Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP, Home_GS_Percent, Away_GS_Percent,Home_Conference,Away_Conference,Home_Timezone_Difference,Away_Timezone_Difference,Winner
2.18,0.51,14,10,4,9,1,0,1,0,0.58,0.2143,0.1,Western,Western,0,1,Home
1.67,0.95,14,16,5,2,0,0,0,0,0.58,0.1429,0,Western,Western,0,2,Home
0.57,1.49,5,9,9,8,0,0,1,0,0.5,0,0.1111,Eastern,Eastern,0,-1,Away
1.14,0.58,12,8,5,6,0,0,0,0,0.49,0,0.125,Eastern,Eastern,0,0,Away
0.95,1.89,11,11,8,3,0,0,0,0,0.54,0,0.0909,Eastern,Eastern,0,0,Away
0.58,1.33,14,17,2,7,0,0,0,1,0.49,0.0714,0.1176,Eastern,Eastern,0,0,Away
1.38,0.41,18,14,4,11,0,0,0,0,0.42,0.1111,0,Western,Western,0,1,Home
1.63,1.05,20,10,6,6,0,0,0,0,0.62,0.1,0.1,Western,Eastern,0,-1,Home
1.53,0.55,20,2,6,1,0,0,0,0,0.49,0.1,0.5,Western,Western,0,0,Home
1.45,1.15,5,10,7,5,0,0,0,0,0.38,0.2,0.2,Western,Western,0,-2,Away
1.84,0.09,12,6,7,4,0,0,0,0,0.54,0.3333,0.1667,Eastern,Western,0,3,Home
0.83,0.69,12,15,5,6,0,0,1,1,0.44,0.1667,0.0667,Eastern,Eastern,0,-1,Home
1.92,1.21,10,18,6,4,0,0,0,0,0.61,0,0.2222,Western,Western,0,2,Away
1.24,0.84,14,11,4,5,0,0,0,0,0.62,0.0714,0,Western,Western,0,2,Home
1.48,1.05,15,5,6,7,0,0,0,0,0.58,0.1333,0.2,Eastern,Eastern,0,-1,Home
1.57,1.01,17,15,4,0,0,0,0,0,0.61,0,0.1333,Western,Western,0,-1,Away
1.09,1.91,7,15,10,9,0,0,0,0,0.52,0.1429,0.1333,Western,Eastern,0,-2,Away
2.21,0.32,19,4,7,7,0,0,1,0,0.42,0.0526,0.5,Eastern,Eastern,0,1,Away
1.61,0.65,24,11,2,2,0,0,0,0,0.54,0.1667,0,Eastern,Western,0,2,Home
1.24,1.52,16,14,2,1,0,0,1,0,0.61,0.125,0.2143,Eastern,Western,0,1,Away
1.88,2.04,23,16,10,8,0,0,1,0,0.42,0.0435,0.125,Eastern,Eastern,0,1,Away
1.17,1.51,16,13,11,2,0,0,1,0,0.66,0,0.1538,Eastern,Eastern,0,0,Away
2.06,1.14,16,16,5,6,0,0,0,0,0.44,0,0.125,Western,Western,0,0,Away
1.52,2.57,15,20,5,8,0,0,0,0,0.48,0,0.15,Western,Western,0,0,Away
2.21,2.32,23,12,6,1,0,0,0,2,0.49,0.0435,0.25,Western,Western,0,-1,Away
2.49,0.82,25,11,7,3,0,0,0,0,0.35,0.04,0.1818,Western,Western,0,2,Away
0.9,1.2,9,9,3,2,0,0,0,0,0.43,0,0.5556,Western,Western,0,0,Away
0.72,1.61,16,11,2,3,0,0,0,0,0.37,0.3125,0.0909,Eastern,Eastern,0,1,Home
1.74,1.12,24,13,3,4,0,0,1,0,0.52,0.0833,0.2308,Western,Western,0,0,Away
2.72,0.38,16,8,8,2,0,0,0,0,0.33,0.125,0.125,Western,Western,0,-1,Home
2.26,1.24,17,15,0,4,0,0,0,0,0.48,0.1176,0,Western,Eastern,0,-1,Home
0.67,1.45,15,15,2,5,0,0,0,0,0.51,0.0667,0.1333,Eastern,Eastern,0,0,Away
2.11,1.03,14,11,9,6,0,0,0,0,0.57,0.1429,0.0909,Western,Western,0,2,Home
2.61,1.69,19,13,3,6,0,0,0,0,0.42,0.1053,0.2308,Eastern,Western,0,1,Away
1.36,0.6,17,10,5,2,0,0,0,0,0.4,0.1176,0,Eastern,Eastern,0,0,Home
2.67,0.96,24,16,5,3,0,0,0,0,0.53,0.1667,0.0625,Eastern,Western,0,1,Home
3.22,0.33,28,12,12,7,0,0,0,0,0.53,0.25,0.1667,Eastern,Western,0,1,Home
0.79,0.7,12,11,8,5,1,0,2,1,0.61,0.1667,0.0909,Western,Eastern,0,-3,Home
0.5,1.61,13,17,8,3,0,0,0,0,0.65,0,0.1765,Western,Western,0,2,Away
1.88,0.81,15,8,3,1,0,0,0,1,0.6,0.1333,0.125,Eastern,Eastern,0,0,Home
1.97,0.62,6,14,6,1,1,0,1,0,0.54,0.3333,0.2143,Eastern,Eastern,0,-1,Away
2.52,2,13,15,3,4,0,0,1,0,0.53,0.0769,0.2,Western,Western,0,0,Away
2.6,0.5,16,8,4,6,0,0,1,0,0.54,0.125,0.125,Eastern,Western,0,2,Home
1.77,0.67,16,6,8,3,0,0,0,0,0.56,0.125,0.1667,Eastern,Western,0,2,Home
3.07,0.24,26,17,10,5,0,0,0,0,0.52,0.1154,0,Western,Western,0,2,Home
1.99,0.27,22,9,3,8,0,0,0,0,0.56,0.0909,0.1111,Western,Eastern,0,-3,Home
1.57,1.45,17,9,3,2,0,0,0,0,0.53,0,0.2222,Western,Eastern,0,-3,Away
2.71,0.66,26,13,9,5,0,0,0,0,0.53,0.0769,0.0769,Western,Eastern,0,-3,Home
1.44,0.65,15,14,7,4,0,0,1,0,0.5,0.0667,0,Western,Western,0,0,Home
1.34,0.41,14,8,5,9,0,0,0,0,0.46,0.1429,0,Eastern,Eastern,0,1,Home
1.61,1.09,14,9,4,2,0,0,0,0,0.32,0.1429,0.3333,Eastern,Eastern,0,1,Away
1.72,1.65,11,15,3,1,0,0,0,0,0.66,0.1818,0.0667,Western,Western,0,2,Home
1.38,1.51,16,13,7,2,0,0,0,0,0.67,0.0625,0.5385,Western,Western,0,2,Away
0.97,1.74,23,16,1,0,0,0,0,0,0.37,0,0.25,Eastern,Eastern,0,1,Away
1.02,0.24,20,10,8,4,0,0,1,0,0.45,0.05,0,Eastern,Western,0,1,Home
1.35,0.7,13,15,5,3,1,0,1,0,0.64,0.2308,0.0667,Eastern,Eastern,0,1,Home
2.22,0.27,22,6,6,3,0,0,0,0,0.58,0.0455,0,Eastern,Eastern,0,1,Home
2.15,1.39,15,12,6,2,0,0,1,0,0.39,0.0667,0.1667,Eastern,Eastern,0,0,Away
2.8,1.36,21,9,10,3,0,0,0,0,0.4,0.1429,0.1111,Western,Western,0,-1,Home
1.43,0.54,19,13,7,4,0,0,0,0,0.42,0.1053,0.0769,Eastern,Eastern,0,1,Home
0.41,0.62,11,8,2,2,0,1,1,2,0.56,0.0909,0.25,Western,Western,0,-1,Away
1.52,0.32,19,6,2,6,0,0,2,0,0.43,0.1579,0.1667,Eastern,Eastern,0,0,Home
1.27,0.47,11,11,9,4,0,0,0,0,0.66,0,0.0909,Eastern,Eastern,0,-1,Away
3.27,1.48,28,13,5,6,0,0,1,0,0.52,0.1071,0.1538,Western,Western,0,-2,Home
2.61,1.03,17,13,4,10,0,0,0,0,0.54,0.1765,0.0769,Eastern,Western,0,1,Home
2.61,0.78,21,12,3,7,0,0,0,0,0.6,0.0952,0,Eastern,Eastern,0,1,Home
1.16,0.82,16,14,1,5,0,0,1,0,0.61,0.125,0.0714,Eastern,Eastern,0,-1,Home
1.01,1.08,24,15,3,6,0,0,0,0,0.53,0,0.1333,Western,Eastern,0,-3,Away
0.71,1.49,10,14,5,6,0,0,0,0,0.59,0,0.2857,Western,Western,0,3,Away
3.29,1.15,17,12,6,5,0,0,0,0,0.46,0.2941,0.3333,Eastern,Western,0,2,Home
1.8,0.98,17,11,12,4,0,0,0,0,0.53,0.1176,0,Eastern,Eastern,0,-1,Home
0.53,0.63,6,9,4,2,0,0,1,0,0.59,0.5,0.1111,Eastern,Eastern,0,-1,Home
0.92,1.28,11,14,7,3,0,0,1,0,0.5,0.6364,0.1429,Eastern,Western,0,1,Home
1.05,1.21,18,13,5,9,0,0,0,0,0.57,0.2222,0.0769,Western,Western,0,1,Home
2.51,1.46,19,12,6,4,0,0,0,0,0.53,0.1053,0.0833,Eastern,Western,0,3,Home
1.11,1.16,9,12,6,1,0,0,0,0,0.55,0.1111,0.25,Western,Western,0,0,Away
0.72,1.39,4,18,5,4,0,0,0,0,0.54,0.5,0.1667,Western,Western,0,-1,Away
1.13,0.69,16,8,7,4,0,0,0,0,0.45,0,0.125,Western,Eastern,0,-2,Away
0.91,0.23,4,6,9,3,1,0,1,0,0.57,0.5,0,Eastern,Eastern,0,0,Home
0.21,0.92,8,3,5,7,0,0,0,0,0.55,0,0.6667,Eastern,Eastern,0,0,Away
0.65,0.72,9,5,6,0,0,0,0,0,0.38,0,0.4,Western,Western,0,1,Away
2.18,1.17,20,11,9,3,0,0,0,0,0.48,0.05,0.1818,Eastern,Eastern,0,-1,Away
1.58,0.45,10,9,7,5,0,0,0,1,0.39,0.2,0.1111,Western,Western,0,-2,Home
1.66,0.56,17,10,5,2,0,0,0,1,0.41,0.0588,0,Western,Western,0,1,Home
2.19,0.84,20,11,8,2,0,0,0,0,0.58,0.1,0.3636,Western,Western,0,0,Away
1.03,1.66,7,12,3,5,0,0,1,0,0.57,0.1429,0.1667,Eastern,Eastern,0,0,Away
2.09,0.14,19,2,3,2,0,0,0,0,0.58,0.1053,0,Western,Western,0,0,Home
0.22,0.34,9,14,5,6,0,0,0,0,0.44,0.2222,0,Eastern,Eastern,0,-1,Home
1.34,0.94,13,10,10,7,1,0,1,0,0.4,0.3077,0,Western,Western,0,1,Home
0.59,1.6,15,15,8,4,0,0,0,0,0.43,0,0.2,Western,Western,0,-1,Away
0.88,0.47,12,5,7,3,0,0,1,0,0.53,0.0833,0,Eastern,Eastern,0,0,Home
1.25,0.75,6,8,6,3,0,0,0,0,0.45,0.3333,0.375,Eastern,Eastern,0,0,Away
1.33,1.62,8,5,7,0,0,0,0,0,0.46,0.25,0.8,Western,Western,0,1,Away
1.68,1.35,23,10,7,6,0,0,0,0,0.45,0.0435,0.3,Western,Eastern,0,-2,Away
1.59,1.55,16,14,7,0,0,0,0,0,0.64,0.125,0.0714,Eastern,Western,0,1,Home
2.47,0.18,20,10,3,4,0,0,0,0,0.52,0.35,0,Eastern,Eastern,0,1,Home
2.7,0.76,11,7,0,2,0,0,0,1,0.48,0.2727,0.1429,Eastern,Eastern,0,1,Home
2.38,0.8,19,18,12,7,0,0,0,0,0.73,0.2105,0.0556,Western,Western,0,1,Home
1.04,0.22,15,10,5,2,0,0,0,0,0.67,0.0667,0,Western,Western,0,1,Home
2.07,0.99,16,16,3,5,0,0,0,0,0.71,0.0625,0.1875,Western,Eastern,0,-1,Away
1.47,0.54,14,5,9,1,0,0,0,0,0.47,0.0714,0.4,Eastern,Eastern,0,1,Away
0.52,1.18,17,10,9,3,0,0,0,0,0.56,0,0.2,Eastern,Western,0,1,Away
1.87,0.86,21,16,9,2,0,0,0,0,0.41,0.0476,0,Western,Western,0,-1,Home
1.46,1.23,11,11,6,4,0,0,0,0,0.63,0.0909,0,Western,Western,0,2,Home
1.78,1.3,21,10,3,5,0,0,0,1,0.51,0,0.3,Eastern,Eastern,0,-1,Away
2.35,1.17,15,7,7,6,0,0,0,0,0.52,0.2,0.1429,Eastern,Eastern,0,-1,Home
3.72,0.2,18,13,6,5,0,0,0,0,0.53,0.1667,0.0769,Western,Western,0,0,Home
2.86,0.21,28,4,3,5,0,0,1,0,0.64,0.0714,0,Western,Western,0,-1,Home
1.37,0.81,16,12,8,10,0,0,0,0,0.46,0,0.0833,Western,Eastern,0,-3,Away
1.13,1.36,15,13,0,6,0,1,0,1,0.6,0.0667,0.1538,Eastern,Eastern,0,-1,Away
2.59,2.23,21,16,1,5,0,0,1,0,0.52,0.1905,0.0625,Eastern,Western,0,2,Home
3.33,0.4,25,6,10,6,0,0,0,0,0.45,0.16,0.1667,Western,Western,0,0,Home
0.69,2.36,15,17,4,3,0,0,0,0,0.59,0.0667,0.1765,Western,Western,0,0,Away
3.22,0.62,16,9,2,4,0,0,1,0,0.44,0.125,0.1111,Western,Western,0,0,Home
1.03,0.52,20,10,4,5,0,1,0,1,0.57,0,0.2,Western,Eastern,0,-2,Away
1.16,1.64,19,15,5,6,0,0,0,0,0.41,0.2105,0.2,Western,Western,0,-1,Home
1.12,0.73,8,11,4,3,0,0,0,0,0.61,0.125,0.3636,Eastern,Eastern,0,0,Away
2.78,0.47,19,14,2,6,0,0,0,0,0.53,0.2632,0,Western,Western,0,-2,Home
1.14,0.67,12,10,3,4,0,0,0,0,0.4,0.1667,0.3,Western,Eastern,0,-2,Away
2.13,1.55,24,10,7,3,0,0,0,0,0.63,0.125,0.2,Eastern,Western,0,0,Home
2.61,1.12,24,9,8,3,0,0,0,0,0.45,0.2083,0.2222,Eastern,Eastern,0,0,Home
0.95,1.95,13,17,4,7,0,0,0,1,0.52,0,0.0588,Eastern,Eastern,0,1,Away
1.26,2.03,12,9,7,6,0,0,0,0,0.53,0.25,0.7778,Eastern,Eastern,0,0,Away
2.33,0.11,30,3,8,4,0,0,1,0,0.46,0.1333,0.3333,Eastern,Western,0,2,Home
2.54,0.36,21,3,2,2,0,0,2,0,0.52,0.1429,0.3333,Western,Western,0,-2,Home
1.52,0.53,12,10,2,3,0,0,0,0,0.54,0.1667,0,Western,Western,0,1,Home
2.36,1.2,16,10,6,3,1,0,1,0,0.35,0.0625,0.3,Western,Western,0,-1,Away
1.23,1.2,12,9,9,5,0,0,0,0,0.66,0,0.2222,Western,Western,0,1,Away
0.72,1.26,12,10,2,3,0,0,0,0,0.66,0.1667,0.3,Eastern,Western,0,4,Away
1.52,0.43,18,2,6,4,1,0,1,0,0.54,0.1111,0,Eastern,Western,0,2,Home
2.08,0.37,11,4,8,5,0,0,1,0,0.61,0.0909,0,Western,Western,0,0,Home
1.7,0.18,20,6,8,2,0,0,0,0,0.46,0,0.5,Eastern,Eastern,0,0,Away
0.65,1.89,3,16,2,6,0,0,0,0,0.44,0.3333,0.1875,Eastern,Eastern,0,0,Away
1.52,0.41,15,12,6,5,0,0,0,0,0.53,0.2667,0,Western,Eastern,0,-2,Home
0.41,1.9,9,17,4,4,0,0,1,0,0.53,0.3333,0.2941,Western,Western,0,2,Away
0.44,1.23,6,18,3,1,0,0,0,0,0.62,0.6667,0,Western,Western,0,1,Home
3.64,0.55,22,9,3,11,0,0,0,0,0.42,0.1818,0,Eastern,Eastern,0,0,Home
1.5,0.14,6,16,11,6,0,0,0,0,0.53,0.6667,0.0625,Western,Eastern,0,0,Home
1.13,0.74,12,13,11,3,0,0,0,0,0.48,0.0833,0.1538,Western,Western,0,1,Away
1.39,1.41,21,9,8,4,0,0,0,0,0.52,0.0476,0.3333,Western,Eastern,0,-2,Away
1.82,1.28,16,15,1,7,0,0,2,0,0.56,0.4375,0.0667,Eastern,Eastern,0,0,Home
1.15,1.56,16,17,5,5,0,0,0,0,0.42,0,0.2941,Eastern,Eastern,0,0,Away
1.57,1.79,15,5,5,7,0,0,0,0,0.63,0.1333,0.8,Eastern,Western,0,0,Away
1.02,0.88,9,11,7,3,0,0,1,0,0.43,0,0.1818,Western,Western,0,-2,Away
1.08,2.27,12,15,4,4,0,0,0,0,0.62,0.0833,0.2,Eastern,Western,0,2,Away
2.05,0.69,9,13,8,5,0,0,1,0,0.5,0.2222,0,Eastern,Eastern,0,1,Home
1.63,1.1,15,16,2,6,0,0,1,0,0.55,0,0.1875,Eastern,Eastern,0,-1,Away
1.81,0.68,17,9,5,1,0,0,0,0,0.59,0.0588,0,Western,Eastern,0,-1,Home
1.15,1.45,15,8,4,5,0,0,1,0,0.53,0,0.125,Eastern,Eastern,0,0,Away
3.01,1.17,20,15,5,2,0,0,0,0,0.63,0.35,0,Western,Eastern,0,-2,Home
1.83,0.24,28,7,5,5,0,0,0,0,0.46,0.0357,0,Western,Western,0,-1,Home
2.59,0.73,18,13,3,3,0,0,1,0,0.72,0.2222,0.0769,Eastern,Eastern,0,0,Home
3.1,0.37,22,7,6,5,0,0,1,0,0.57,0.0909,0,Western,Eastern,0,-2,Home
0.95,1.7,6,12,4,5,0,0,1,0,0.38,0.1667,0.1667,Western,Eastern,0,0,Away
1.74,1.06,18,14,6,8,0,0,0,0,0.54,0.1667,0,Eastern,Eastern,0,0,Home
1.69,1.64,5,14,9,2,0,0,0,0,0.45,0.4,0.2143,Western,Western,0,0,Away
0.86,1.42,18,10,4,4,0,0,1,0,0.48,0,0.2,Western,Western,0,0,Away
1.82,0.68,13,8,7,2,0,0,0,0,0.62,0.0769,0,Eastern,Western,0,0,Home
1.17,1.67,11,13,5,7,0,0,0,1,0.44,0,0.1538,Eastern,Eastern,0,0,Away
1.33,1.18,16,18,4,7,0,0,0,0,0.51,0.0625,0.1111,Western,Western,0,2,Away
0.49,0.39,15,4,0,2,0,0,0,0,0.55,0.1333,0,Eastern,Eastern,0,0,Home
0.9,1.2,6,8,5,2,0,0,0,0,0.59,0.6667,0.25,Eastern,Eastern,0,1,Home
0.68,0.4,6,4,0,2,0,0,0,0,0.6,0.3333,0,Eastern,Western,0,2,Home
0.8,0.8,22,6,6,6,0,0,0,0,0.57,0,0.1667,Western,Western,0,-1,Away
1.91,0.88,5,5,3,3,0,0,1,0,0.56,0.4,0,Eastern,Western,0,0,Home
2.06,0.7,19,3,8,2,0,0,0,0,0.64,0.1053,0,Eastern,Western,0,2,Home
1.51,1.34,12,19,6,4,0,0,0,0,0.51,0.1667,0.0526,Eastern,Eastern,0,0,Home
2.4,0.71,18,9,3,6,0,0,0,0,0.51,0.0556,0,Western,Eastern,0,-4,Home
1.26,0.16,13,18,6,3,0,0,0,0,0.57,0.3077,0.0556,Eastern,Eastern,0,0,Home
1.4,0.99,18,9,5,2,0,0,1,1,0.53,0.0556,0.2222,Eastern,Western,0,1,Away
1.32,0.91,16,13,4,9,0,0,1,0,0.46,0.0625,0,Western,Western,0,0,Home
0.31,0.41,12,4,7,2,0,0,0,0,0.53,0.25,0,Western,Western,0,0,Home
0.91,0.85,18,11,3,7,0,0,0,0,0.43,0,0.0909,Eastern,Eastern,0,1,Away
2.34,1.31,13,17,8,7,0,0,1,0,0.61,0.1538,0.0588,Eastern,Western,0,3,Home
2.22,0.36,18,10,5,5,0,0,2,0,0.49,0.1111,0,Western,Western,0,-1,Home
2.38,1.49,20,17,8,3,0,0,0,0,0.47,0.15,0.0588,Western,Eastern,0,-3,Home
1.53,0.48,21,6,5,5,0,0,0,0,0.48,0.0952,0,Western,Western,0,-3,Home
1.03,0.72,17,3,5,6,0,0,0,0,0.44,0,0.3333,Eastern,Eastern,0,1,Away
0.79,1.02,15,14,8,5,0,0,1,0,0.5,0,0.0714,Eastern,Western,0,3,Away
2.58,1.38,19,13,3,10,0,0,0,0,0.64,0.1579,0,Eastern,Eastern,0,0,Home
2.08,1.38,19,19,3,8,0,0,0,0,0.58,0.1053,0.0526,Eastern,Eastern,0,0,Home
0.23,1.02,13,10,7,6,0,0,1,0,0.5,0.0769,0.2,Western,Western,0,-2,Away
0.73,0.99,16,13,3,4,0,0,1,1,0.35,0.25,0.0769,Eastern,Eastern,0,-1,Home
1.93,0.54,15,9,3,4,0,0,0,0,0.62,0.2,0,Eastern,Eastern,0,-1,Home
1.6,0.45,6,8,5,6,0,0,1,0,0.56,0.3333,0.125,Western,Western,0,1,Home
1.04,0.75,11,11,1,2,0,0,0,0,0.65,0,0.0909,Western,Western,0,1,Away
2.42,1.75,13,13,7,4,0,0,0,0,0.39,0.2308,0.0769,Western,Eastern,0,-3,Home
2.57,1.35,24,14,12,6,0,0,0,0,0.69,0.125,0.0714,Western,Western,0,0,Home
1.44,0.86,10,17,3,7,0,1,0,2,0.6,0.1,0.1765,Western,Western,0,-2,Away
1.72,1.15,18,11,7,2,2,0,2,1,0.46,0.2778,0.2727,Eastern,Eastern,0,0,Home
1.47,1.2,15,11,6,3,0,0,1,0,0.53,0,0.0909,Eastern,Eastern,0,1,Away
2.11,1.25,27,14,11,4,0,0,0,0,0.59,0.037,0.1429,Eastern,Western,0,3,Away
0.49,1.08,10,16,6,2,0,0,0,0,0.63,0.1,0.125,Eastern,Eastern,0,0,Away
2.61,2.09,12,17,7,4,0,0,0,0,0.43,0.1667,0.1765,Western,Western,0,-1,Away
2.17,0.72,18,10,8,7,0,0,0,0,0.49,0.0556,0.2,Western,Eastern,0,0,Away
2.15,0.14,21,13,7,3,0,0,1,0,0.77,0.0476,0,Western,Eastern,0,0,Home
1.92,0.63,13,7,6,1,0,0,0,0,0.48,0.1538,0.1429,Western,Western,0,2,Home
1.87,1.32,18,10,3,6,0,0,0,2,0.53,0.1667,0.1,Eastern,Eastern,0,1,Home
1.67,0.63,17,17,5,6,0,0,0,0,0.42,0.0588,0.1176,Western,Western,0,-2,Away
1.84,1.04,17,11,1,5,0,2,1,2,0.5,0.0588,0.2727,Eastern,Western,0,2,Away
2.21,1.1,16,8,8,0,0,0,0,1,0.53,0.125,0.125,Eastern,Eastern,0,-1,Home
2.12,0.22,13,2,2,1,0,0,0,0,0.5,0.2308,0,Western,Western,0,0,Home
1.41,1.43,10,17,6,6,0,0,0,0,0.56,0.2,0.1765,Eastern,Eastern,0,0,Away
1.6,0.67,19,7,8,3,1,0,1,0,0.49,0.1579,0.2857,Eastern,Western,0,3,Home
1.78,0.72,19,14,6,6,0,0,0,1,0.54,0.1053,0,Western,Western,0,-1,Home
0.89,2.38,20,18,0,5,0,0,1,0,0.62,0,0.2222,Western,Eastern,0,-1,Away
0.81,1.14,3,13,6,2,0,0,0,0,0.53,0,0.0769,Western,Western,0,1,Away
1.34,0.78,13,6,2,4,0,0,0,0,0.45,0.1538,0,Western,Western,0,-1,Home
0.6,0.52,11,6,7,2,0,0,0,0,0.6,0.1818,0.1667,Eastern,Eastern,0,-1,Home
0.78,0.9,9,14,3,4,0,0,2,0,0.46,0.2222,0,Western,Western,0,0,Home
1.35,0.91,14,9,6,4,0,0,0,0,0.37,0,0.2222,Western,Western,0,-2,Away
1.53,1.87,10,11,7,4,0,0,0,0,0.57,0,0.2727,Western,Western,0,-1,Away
2.61,1.07,19,9,1,2,0,0,0,0,0.51,0.1053,0.3333,Eastern,Eastern,0,-1,Away
2.32,0.12,15,5,8,6,0,0,0,0,0.55,0.0667,0,Western,Western,0,-1,Home
2.09,1.51,11,12,11,8,0,0,0,0,0.53,0.2727,0.1667,Eastern,Eastern,0,1,Home
1.28,1.3,14,9,8,5,0,0,0,0,0.43,0,0.1111,Eastern,Eastern,0,0,Away
0.95,0.97,8,18,3,7,0,0,0,0,0.49,0.25,0,Eastern,Eastern,0,0,Home
0.63,2.02,6,18,6,5,1,0,2,0,0.53,0.3333,0.1667,Eastern,Eastern,0,1,Away
3.04,1.06,20,17,6,9,0,0,0,0,0.44,0.15,0,Western,Western,0,0,Home
2.62,0.42,23,7,7,5,0,0,1,0,0.5,0.087,0.4286,Western,Eastern,0,-2,Away
2.36,1.8,22,5,9,5,0,0,0,0,0.4,0.1364,0.4,Eastern,Eastern,0,1,Home
1.99,0.4,15,6,7,1,0,0,0,0,0.44,0.0667,0.3333,Eastern,Eastern,0,0,Away
2.38,0.37,16,3,8,2,0,0,0,0,0.42,0.0625,0,Western,Eastern,0,-4,Home
2.13,2.63,15,18,3,6,0,0,0,1,0.52,0.0667,0.2222,Western,Eastern,0,0,Away
1.51,0.49,4,19,8,4,0,0,0,0,0.43,0.25,0,Eastern,Eastern,0,-1,Home
2.28,1.58,17,16,2,5,0,0,0,0,0.43,0.0588,0.1875,Eastern,Eastern,0,0,Away
1.46,0.98,16,12,9,2,0,0,1,0,0.48,0.0625,0.1667,Eastern,Eastern,0,-1,Away
0.46,0.99,11,8,3,6,0,0,0,0,0.56,0.2727,0.125,Eastern,Western,0,1,Home
0.83,0.36,10,8,3,2,1,0,1,0,0.38,0.2,0,Western,Western,0,-1,Home
2.89,0.9,21,16,5,8,0,0,0,0,0.62,0.1429,0.0625,Western,Western,0,2,Home
1.38,0.19,19,7,8,3,0,0,1,0,0.62,0.1053,0,Western,Western,0,2,Home
1.05,0.98,12,14,3,2,0,0,0,0,0.62,0,0.0714,Western,Western,0,0,Away
2.09,0.32,15,10,7,4,0,0,0,1,0.62,0.2667,0.1,Western,Eastern,0,-1,Home
0.78,2.3,22,15,4,7,0,0,0,0,0.64,0,0.2,Eastern,Eastern,0,1,Away
1.56,1.09,12,9,8,2,0,0,0,0,0.42,0.1667,0.5556,Western,Western,0,1,Away
1.07,0.84,11,3,3,9,0,0,0,0,0.66,0,0.3333,Eastern,Eastern,0,0,Away
1.91,0.98,20,4,8,1,0,0,0,0,0.47,0.05,0.5,Western,Eastern,0,-2,Away
2.53,1.39,11,7,3,3,0,0,0,0,0.72,0.0909,0.2857,Eastern,Eastern,0,0,Away
1.36,1.31,20,5,4,4,0,0,0,0,0.52,0.05,0.8,Western,Western,0,2,Away
1.7,0.48,22,2,7,1,0,0,1,0,0.37,0.0455,0,Western,Western,0,-2,Home
1.73,0.39,18,13,3,1,0,0,0,0,0.52,0.1667,0,Eastern,Eastern,0,-1,Home
1.59,0.83,14,15,4,9,0,0,0,0,0.51,0,0.0667,Western,Western,0,-2,Away
